,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
480,E02000499,2,1,1060.0,827315.0,urban
481,E02000500,6,5,1050.0,929837.0,urban
482,E02000501,0,0,990.0,594482.8,urban
483,E02000502,1,0,930.0,535865.4,urban
484,E02000503,0,0,1030.0,499717.2,urban
485,E02000504,0,0,1060.0,925260.4,urban
486,E02000506,1,0,1070.0,1237459.5,urban
487,E02000507,0,0,940.0,487541.5,urban
488,E02000508,0,4,760.0,512524.1,urban
489,E02000509,2,0,740.0,335782.7,urban
490,E02000510,1,0,900.0,671214.5,urban
491,E02000511,0,0,840.0,581231.9,urban
492,E02000512,0,0,740.0,473873.7,urban
493,E02000513,1,0,760.0,344090.8,urban
494,E02000514,2,0,830.0,458928.7,urban
495,E02000515,4,0,750.0,576998.4,urban
496,E02000516,0,1,880.0,368767.1,urban
497,E02000517,0,0,720.0,455504.9,urban
498,E02000518,0,3,740.0,514854.9,urban
499,E02000519,1,1,710.0,465371.7,urban
500,E02000520,0,0,750.0,528279.9,urban
501,E02000521,2,0,770.0,576980.0,urban
502,E02000522,0,0,780.0,557953.3,urban
503,E02000523,2,0,840.0,440516.6,urban
504,E02000524,2,0,790.0,476772.9,urban
505,E02000525,0,2,800.0,355030.5,urban
506,E02000526,1,0,1360.0,266448.1,urban
507,E02000528,3,0,760.0,234048.6,urban
508,E02000529,1,0,820.0,323497.7,urban
509,E02000530,1,1,690.0,190737.0,urban
510,E02000531,0,0,840.0,375929.0,urban
511,E02000532,1,0,1160.0,377329.4,urban
512,E02000533,0,0,1180.0,330981.2,urban
513,E02000534,1,0,1120.0,503064.4,urban
514,E02000535,1,1,900.0,464893.3,urban
515,E02000536,0,0,880.0,490996.3,urban
516,E02000537,0,0,1060.0,461501.8,urban
517,E02000538,1,2,840.0,391046.9,urban
518,E02000539,1,0,950.0,376926.7,urban
519,E02000540,0,0,840.0,321944.1,urban
520,E02000541,1,1,770.0,317898.9,urban
521,E02000542,2,0,780.0,318669.6,urban
522,E02000543,3,2,960.0,350289.4,urban
523,E02000544,0,0,930.0,443241.1,urban
524,E02000545,2,0,840.0,282060.4,urban
525,E02000546,1,0,900.0,336216.4,urban
526,E02000547,2,0,750.0,491793.9,urban
527,E02000548,0,0,720.0,445259.2,urban
528,E02000549,1,0,770.0,638891.2,urban
529,E02000550,3,0,850.0,330848.4,urban
530,E02000551,1,0,670.0,321746.4,urban
531,E02000552,0,0,870.0,398092.8,urban
532,E02000553,1,1,830.0,373486.5,urban
533,E02000554,0,0,700.0,134031.7,urban
534,E02000555,2,6,850.0,150386.7,urban
535,E02000556,3,13,810.0,171984.6,urban
536,E02000557,0,3,760.0,121982.5,urban
537,E02000558,0,4,600.0,69397.3,urban
538,E02000559,1,1,1030.0,144942.5,urban
539,E02000560,3,11,820.0,92652.1,urban
540,E02000561,2,0,1070.0,217470.7,urban
541,E02000562,0,0,890.0,165664.3,urban
542,E02000563,0,0,660.0,128233.4,urban
543,E02000564,4,6,880.0,139796.5,urban
544,E02000565,1,0,790.0,118091.3,urban
545,E02000566,2,14,1120.0,155869.0,urban
546,E02000567,0,2,870.0,209509.7,urban
547,E02000568,2,5,620.0,67787.6,urban
548,E02000569,3,7,880.0,147184.1,urban
549,E02000570,0,3,1210.0,164148.7,urban
550,E02000571,1,2,790.0,98412.0,urban
551,E02000572,0,3,620.0,54116.3,urban
552,E02000573,5,8,1080.0,115474.7,urban
553,E02000574,1,9,840.0,69193.5,urban
554,E02000575,5,8,810.0,26815.3,urban
555,E02000576,6,8,700.0,10865.0,urban
556,E02000577,1,0,600.0,36276.9,urban
557,E02000578,0,0,620.0,66718.4,urban
558,E02000579,3,0,820.0,150507.9,urban
559,E02000580,1,0,750.0,82648.8,urban
560,E02000581,0,0,620.0,58474.7,urban
561,E02000582,3,3,1210.0,115852.3,urban
562,E02000583,1,0,1290.0,148379.0,urban
563,E02000584,2,1,1390.0,159428.8,urban
564,E02000585,2,0,1190.0,222781.4,urban
565,E02000586,1,1,1410.0,75093.9,urban
566,E02000587,2,0,1340.0,135419.3,urban
567,E02000588,2,1,1370.0,62730.9,urban
